song,Range,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Dominant_Spread,Strong_Tonal_Centres,Most_Common_Melodic_Interval,Number_of_Common_Melodic_Intervals,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Minor_Major_Melodic_Third_Ratio,Direction_of_Melodic_Motion,Most_Common_Vertical_Interval,Second_Most_Common_Vertical_Interval,Distance_Between_Two_Most_Common_Vertical_Intervals,Prevalence_of_Second_Most_Common_Vertical_Interval,Vertical_Unisons,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Standard_Triads,Diminished_and_Augmented_Triads,Dominant_Seventh_Chords,Non-Standard_Chords,Complex_Chords,Minor_Major_Triad_Ratio,Total_Number_of_Notes,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Dotted_Notes,Shortest_Rhythmic_Value,Longest_Rhythmic_Value,Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Difference_Between_Most_Common_Rhythmic_Values,Rhythmic_Value_Skewness,Median_Rhythmic_Value_Run_Length,Median_Rhythmic_Value_Offset,Median_Partial_Rest_Duration,Variability_of_Partial_Rest_Durations,Number_of_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Harmonicity_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Note_Density,Note_Density_Variability,Amount_of_Staccato,Number_of_Strong_Rhythmic_Pulses,Number_of_Moderate_Rhythmic_Pulses,Strongest_Rhythmic_Pulse,Second_Strongest_Rhythmic_Pulse,Harmonicity_of_Two_Strongest_Rhythmic_Pulses,Similar_Motion,Contrary_Motion,Parallel_Fifths,Dynamic_Range,Average_Note_to_Note_Change_in_Dynamics,pcm_intensity_sma_min,pcm_intensity_sma_minPos,pcm_loudness_sma_range,pcm_loudness_sma_maxPos,pcm_loudness_sma_linregc1,pcm_loudness_sma_skewness,pcm_zcr_sma_min,pcm_zcr_sma_maxPos,pcm_zcr_sma_minPos,pcm_zcr_sma_linregc1,pcm_zcr_sma_stddev,pcm_zcr_sma_skewness,F0_sma_maxPos,F0_sma_linregerrQ,F0env_sma_max,F0env_sma_min,F0env_sma_maxPos,F0env_sma_linregc1,F0env_sma_linregerrQ,F0env_sma_skewness,F0env_sma_kurtosis,F0env_sma_quartile3,BPM
Q4_Ie5koh4qvJc_28,50.0,0.3527,0.5357,0.1116,3.0,3.0,12.0,2.0,0.7429,0.4279,0.1209,0.03721,0.009302,0.03721,0.08372,0.01395,0.1628,0.4047,0.75,0.5026,0.0,7.0,7.0,0.142,0.0,0.03295,0.1948,0.02478,0.1045,0.142,0.1974,0.0713,0.3308,0.0,0.001022,0.3871,0.08653,0.09851,224.0,0.06696,0.3527,0.125,8.0,0.5,0.9348,4.0,0.6438,1.0,0.09896,1.266,0.7531,0.0,40.0,1.2,1.431,4.481,1.617,0.01339,0.0,16.0,40.0,48.0,1.2,0.3194,0.02903,0.003226,66.0,11.22,1.8079955e-09,3674.0,3.8534703,2022.0,2.4732579e-05,0.8018774,0.0033333332,1194.0,1210.0,7.0225985e-07,0.004803993,0.16816814,1545.0,18231.076,432.61252,31.25,1547.0,0.0007289388,140.1653,-10.883337,266.5291,375.37057,120.40302276611328
Q1_60LLKmpgzRM_0,55.0,0.1154,0.5962,0.2885,3.0,2.0,15.0,3.0,1.0,0.4783,0.04348,0.06522,0.02174,0.04348,0.06522,0.0,0.1087,0.5217,2.0,0.5455,5.0,0.0,5.0,0.1935,0.0,0.03431,0.1475,0.0069,0.2472,0.136,0.1199,0.03966,0.219,0.004271,0.01988,0.4828,0.03475,1037.0,52.0,0.25,0.5192,0.25,12.0,3.0,0.6667,1.0,1.206,1.0,0.388,1.531,0.9686,1.0,46.0,1.261,11.58,1.771,0.3835,0.0,1.0,10.0,46.0,58.0,1.261,0.05556,0.0,0.0,67.0,10.71,2.1480103e-12,1591.0,1.674562,91.0,-0.00017742862,2.51984,0.004722222,1426.0,267.0,2.310429e-06,0.0063461117,1.4850911,1426.0,10859.983,444.3729,0.0,1428.0,0.015272869,3771.4045,-4.322659,23.981016,382.10718,116.67686462402344
Q1_6kRPHamGDSo_1,56.0,0.2563,0.5327,0.2111,4.0,2.0,12.0,2.0,0.7407,0.4716,0.01705,0.03977,0.03409,0.05114,0.0625,0.03977,0.1534,0.3636,2.5,0.5202,0.0,4.0,4.0,0.1493,0.0,0.02296,0.2605,0.06953,0.0482,0.1029,0.1175,0.06911,0.3008,0.05888,0.2187,0.2787,0.1592,1.032,199.0,0.03518,0.2764,0.125,6.0,0.5,0.6324,2.0,0.6818,1.0,0.07812,0.1146,0.001504,1.0,43.0,1.256,1.16,9.955,4.28,0.005025,1.0,11.0,43.0,54.0,1.256,0.338,0.009901,0.0,65.0,10.25,1.1363976e-08,731.0,2.4444785,1050.0,-0.00011834116,0.37083605,0.008611112,535.0,336.0,-2.836349e-06,0.0072185853,1.1402206,1082.0,33220.56,456.15967,39.215687,1083.0,-0.0035985303,557.21924,-2.0480902,40.11138,395.89786,106.3336410522461
Q1_fey-8bOR95E_0,78.0,0.3923,0.5103,0.09744,6.0,2.0,12.0,1.0,0.3699,0.4802,0.01824,0.02432,0.00304,0.08207,0.06079,0.02128,0.2219,0.3222,0.9091,0.452,0.0,5.0,5.0,0.1391,0.0,0.04947,0.1585,0.02774,0.1391,0.1269,0.1218,0.13,0.1515,0.006374,0.005995,0.5728,0.192,0.2195,390.0,0.01026,0.2231,0.125,12.0,0.125,1.0,0.0,1.058,1.0,0.04688,0.2161,0.1094,0.0,40.0,1.125,1.113,13.0,6.512,0.3231,0.0,12.0,40.0,45.0,1.125,0.3315,0.02476,0.003439,71.0,6.985,0.0,0.0,2.7373445,2108.0,0.00026299618,0.62790006,0.013888889,0.0,1087.0,-3.5585324e-06,0.039607935,20.989399,1275.0,22211.947,410.5198,0.0,1549.0,0.009198215,1091.5691,-9.545681,103.07469,375.40732,153.14053344726562
Q1_Fc1qk52SaKY_1,58.0,0.3906,0.4,0.2094,6.0,2.0,12.0,1.0,0.3226,0.3945,0.02768,0.00346,0.0,0.04498,0.04844,0.0173,0.2145,0.5502,1.0,0.4555,0.0,7.0,7.0,0.1249,0.0,0.04484,0.2054,0.0184,0.1192,0.1249,0.1146,0.08236,0.2512,0.0,0.01085,0.4449,0.08802,0.5101,320.0,0.009375,0.6312,0.125,8.0,0.75,0.5391,2.0,1.131,1.0,0.08854,0.8802,0.0,0.0,51.0,1.471,1.606,8.038,2.411,0.00625,0.0,15.0,51.0,75.0,1.471,0.3716,0.03352,0.003831,54.0,11.8,1.0724281e-08,3466.0,2.9694762,2789.0,7.4732045e-05,0.5169223,0.008333334,3645.0,343.0,1.4605221e-06,0.006168577,0.8514973,1081.0,31359.12,427.67392,31.25,3597.0,0.0038181446,196.00888,-6.800215,144.7403,379.90247,150.79190063476562
Q4_CkjAksZstEA_1,34.0,0.2214,0.7786,0.0,3.0,2.0,3.0,4.0,0.875,0.5912,0.007299,0.0,0.1095,0.1314,0.1241,0.07299,0.0365,0.08029,1.143,0.4926,6.0,3.0,3.0,0.1326,0.0,0.02559,0.2327,0.1396,0.1108,0.06187,0.1767,0.08904,0.1594,0.0293,0.0002652,0.6377,0.0769,0.003338,140.0,0.07143,0.4643,0.125,12.0,1.0,0.7179,1.0,1.117,1.0,0.1406,1.049,0.0,0.0,41.0,1.049,1.09,3.501,1.009,0.007143,0.0,17.0,41.0,43.0,1.049,0.3534,0.01504,0.0,53.0,9.579,1.3109895e-09,3288.0,3.8241658,358.0,-0.00017692972,1.8373786,0.004166667,2983.0,2576.0,-1.2373386e-06,0.0033039744,-0.0010289244,308.0,22793.365,404.93936,31.25,309.0,-0.0010644414,141.5856,-12.866307,300.2435,374.9999,113.81563568115234
Q2_P-We4q3goKU_5,67.0,0.2534,0.5741,0.1725,1.0,2.0,12.0,1.0,0.1608,0.6069,0.04088,0.04403,0.0,0.02516,0.02516,0.06289,0.4497,0.3208,2.5,0.5016,0.0,7.0,7.0,0.1344,0.0,0.1315,0.1305,0.04331,0.05969,0.1344,0.08114,0.1124,0.01167,0.004851,0.006191,0.6162,0.2027,6.789,371.0,0.01887,0.5418,0.125,12.0,0.75,0.3704,1.0,1.083,2.0,0.08073,1.516,0.0,0.0,40.0,1.15,1.233,10.09,5.679,0.002695,0.0,9.0,40.0,46.0,1.15,0.2475,0.02428,0.0006743,59.0,6.728,1.7570647e-09,23.0,3.352074,926.0,0.00029358108,-0.06004268,0.002222222,2105.0,45.0,-3.3493316e-06,0.005672756,0.15412664,2715.0,22230.68,449.2201,31.25,2716.0,0.006423996,209.00061,-6.065684,106.76804,374.99918,161.64373779296875
Q2_D-gDPh9ZpFk_2,57.0,0.4557,0.3719,0.1724,5.0,2.0,12.0,1.0,0.7674,0.4271,0.0,0.02122,0.0,0.07427,0.05305,0.05836,0.1141,0.4483,1.091,0.5411,7.0,0.0,7.0,0.1435,0.0,0.02268,0.1922,0.01394,0.1316,0.161,0.1014,0.1094,0.05606,0.0001141,0.009181,0.6,0.3209,2.299,406.0,0.0,0.3177,0.125,4.0,0.5,0.9263,1.0,1.038,1.0,0.08073,0.125,0.03485,0.0,44.0,1.073,1.211,13.61,4.485,0.1207,0.0,12.0,44.0,41.0,1.073,0.2948,0.0208,0.006116,63.0,10.9,1.1986484e-08,1749.0,2.8471675,769.0,-9.426674e-05,0.547817,0.0075000003,2964.0,1535.0,-9.2578756e-07,0.0062619704,0.75140387,2333.0,29351.28,423.10306,37.73585,570.0,-2.9959916e-05,191.08133,-9.123391,194.54475,380.4876,130.475830078125
Q4_mGYKWCVnMwQ_0,43.0,0.4089,0.5764,0.01478,4.0,2.0,12.0,3.0,0.75,0.4897,0.04639,0.01546,0.01031,0.09278,0.09278,0.07216,0.1443,0.3247,0.1818,0.4919,5.0,7.0,2.0,0.1363,0.0,0.04063,0.1987,0.01632,0.17,0.1363,0.1361,0.09505,0.1153,0.000246,0.000164,0.4777,0.09034,0.5375,203.0,0.03448,0.4335,0.125,8.0,1.0,0.975,1.0,0.7838,1.0,0.1615,0.1068,0.0,0.0,48.0,1.312,1.224,4.061,0.9147,0.07389,0.0,16.0,48.0,63.0,1.312,0.3582,0.01064,0.0,55.0,13.12,3.0091404e-10,0.0,3.2590692,1557.0,2.7174194e-05,0.9903199,0.0033333332,3.0,1589.0,1.2712151e-07,0.0031144526,1.5501052,4464.0,15710.02,444.2242,0.0,4466.0,0.0010362567,444.1481,-8.000866,141.84761,390.33948,184.57025146484372
Q3_qRceKZtwRWA_1,47.0,0.3587,0.5272,0.1141,4.0,2.0,7.0,2.0,0.8571,0.4971,0.08,0.02286,0.0,0.12,0.1086,0.05714,0.1029,0.3657,3.5,0.5031,7.0,3.0,4.0,0.1184,0.0,0.04378,0.1883,0.01759,0.09795,0.175,0.1765,0.08774,0.2659,0.003714,0.01584,0.4772,0.1087,0.2593,184.0,0.04348,0.3859,0.5,12.0,1.0,0.7115,2.0,0.9516,1.0,0.1094,0.2865,0.0,0.0,46.0,1.304,1.217,3.934,1.686,0.0,0.0,16.0,46.0,60.0,1.304,0.3344,0.03607,0.006557,60.0,13.21,2.7299059e-09,929.0,2.869458,3693.0,-7.433893e-05,0.80097777,0.004722222,3683.0,183.0,-1.8699018e-07,0.006805522,0.5293266,578.0,15057.542,457.13754,0.0,578.0,0.00025096428,311.67993,-11.181792,218.10988,376.4205,114.37433624267578
Q4_k6aLLVX1D7Y_2,38.0,0.1231,0.5231,0.3538,6.0,1.0,17.0,4.0,0.8788,0.615,0.005348,0.0,0.0,0.005348,0.0,0.005348,0.1551,0.6257,0.8571,0.4946,0.0,5.0,5.0,0.1806,0.0,0.000412,0.3089,0.001021,0.1806,0.08543,0.2274,0.0007889,0.9205,0.0,0.0123,0.007223,0.004202,1.959,195.0,0.0,0.2872,0.25,4.0,1.0,0.3364,1.0,1.687,2.0,0.1745,0.2526,0.0,0.0,41.0,1.244,1.262,6.502,0.761,0.0,0.0,14.0,41.0,51.0,1.244,0.5077,0.0,0.0,51.0,16.08,1.528186e-09,2011.0,3.1196442,1861.0,8.371279e-05,0.33905354,0.006944444,216.0,2509.0,-6.9787334e-06,0.008027906,0.8097113,1497.0,13158.637,414.5121,0.0,1498.0,0.0048357574,699.11255,-12.023904,162.64738,375.12732,100.26271057128906
Q1_IH2KrGjKXw0_3,43.0,0.4533,0.4394,0.1074,6.0,2.0,24.0,0.0,0.9474,0.3157,0.01104,0.00883,0.0,0.06402,0.04194,0.01545,0.07947,0.6358,0.2632,0.5134,0.0,7.0,7.0,0.1581,0.0,0.02714,0.2298,0.01081,0.1208,0.1581,0.1353,0.04262,0.3134,0.0,0.0,0.5961,0.03956,0.06142,503.0,0.0159,0.6044,0.125,12.0,1.5,0.6038,3.0,0.9092,1.0,0.1172,0.2552,0.0,0.0,46.0,1.15,1.085,9.127,4.306,0.007952,0.0,11.0,46.0,40.0,1.15,0.3492,0.0227,0.001081,80.0,17.08,7.723961e-10,5085.0,3.678397,2870.0,-5.891018e-05,0.2674424,0.0058333334,3310.0,1523.0,1.3179226e-07,0.0045794835,0.073566936,2545.0,19612.521,465.09897,31.25,2550.0,-0.0001355981,199.147,-5.1328287,129.2388,380.2962,91.12005615234376
Q4_DX1IK3z1w10_0,40.0,0.3262,0.5622,0.1116,5.0,2.0,5.0,2.0,1.0,0.3767,0.009302,0.0,0.0,0.07442,0.1349,0.03721,0.09302,0.386,1.1,0.5305,7.0,2.0,5.0,0.1477,0.0,0.005345,0.202,0.0,0.1268,0.2081,0.124,0.04717,0.1903,0.0,0.0,0.6506,0.1443,0.08327,233.0,0.03433,0.1545,0.25,12.0,1.0,0.3143,2.0,1.197,1.0,0.1328,0.224,0.1843,0.0,42.0,1.238,1.408,5.826,2.539,0.0,0.0,11.0,42.0,52.0,1.238,0.3074,0.0,0.009709,60.0,15.49,7.2612116e-10,2232.0,1.9294521,2382.0,-5.655518e-06,0.90962076,0.00861111,3293.0,666.0,1.8513798e-06,0.006571874,0.56225944,2128.0,28700.781,451.73868,40.000004,2129.0,0.0023289348,421.8408,-2.048513,35.794598,388.98044,104.3979949951172
Q1_GY3f6ckBVkA_1,41.0,0.2422,0.2174,0.5404,5.0,2.0,2.0,1.0,0.8125,0.3082,0.06164,0.04795,0.0,0.03425,0.0274,0.0,0.08904,0.4658,3.25,0.4307,7.0,2.0,5.0,0.1546,0.0,0.01132,0.2236,0.003691,0.1103,0.2199,0.08323,0.1038,0.02864,0.008879,0.0,0.3327,0.133,3.651,161.0,0.0,0.1863,0.125,3.0,0.125,1.0,0.0,1.132,1.0,0.05208,0.2786,0.1953,0.0,51.0,1.244,1.172,8.451,1.694,0.4534,0.0,14.0,51.0,41.0,1.244,0.3662,0.08451,0.0,70.0,12.2,1.310493e-09,21.0,3.3513753,301.0,9.4554336e-05,0.29072875,0.009722223,655.0,810.0,6.668018e-07,0.00791209,0.54345036,1347.0,12107.897,449.2438,31.25,1349.0,0.0065787104,331.71667,-6.987096,113.126366,384.09363,101.72246551513672
